Timestamp,Voltage (V),Current (A),Power (W)
2025-06-10T05:01:19.412Z,0,0,0
2025-06-10T05:01:20.418Z,0,0,0
2025-06-10T05:01:21.419Z,0,0,0
2025-06-10T05:01:22.429Z,0,0,0
2025-06-10T05:01:23.435Z,0,0,0
2025-06-10T05:22:43.420Z,0,0,0
2025-06-10T05:22:44.426Z,0,0,0
2025-06-10T05:22:45.430Z,0,0,0
2025-06-10T05:22:46.432Z,0,0,0
2025-06-10T05:22:47.440Z,0,0,0
2025-06-10T05:22:48.441Z,0,0,0
2025-06-10T05:22:49.442Z,0,0,0
2025-06-10T05:22:50.442Z,0,0,0
2025-06-10T05:22:51.455Z,0,0,0
2025-06-10T05:22:52.468Z,0,0,0
2025-06-10T05:22:53.477Z,0,0,0
2025-06-10T05:22:54.484Z,0,0,0
2025-06-10T05:22:55.495Z,0,0,0
2025-06-10T05:22:56.502Z,0,0,0
2025-06-10T05:22:57.506Z,0,0,0
2025-06-10T05:22:58.521Z,0,0,0
2025-06-10T05:22:59.527Z,0,0,0
2025-06-10T05:23:00.537Z,0,0,0
2025-06-10T05:23:01.549Z,0,0,0
2025-06-10T05:23:02.562Z,0,0,0
2025-06-10T05:23:03.565Z,0,0,0
2025-06-10T05:23:04.572Z,0,0,0
2025-06-10T05:23:05.584Z,0,0,0
2025-06-10T05:23:06.596Z,0,0,0
2025-06-10T05:23:07.606Z,0,0,0
2025-06-10T05:23:08.618Z,0,0,0
2025-06-10T05:23:09.633Z,0,0,0
2025-06-10T05:23:10.641Z,0,0,0
2025-06-10T05:23:11.653Z,0,0,0
2025-06-10T05:23:12.662Z,0,0,0
2025-06-10T05:23:13.670Z,0,0,0
2025-06-10T05:23:14.671Z,0,0,0
2025-06-10T05:23:15.676Z,0,0,0
2025-06-10T05:23:16.679Z,0,0,0
2025-06-10T05:23:17.681Z,0,0,0
2025-06-10T05:23:18.684Z,0,0,0
2025-06-10T05:23:19.690Z,0,0,0
2025-06-10T05:23:20.703Z,0,0,0
2025-06-10T05:23:21.707Z,0,0,0
2025-06-10T05:23:22.711Z,0,0,0
2025-06-10T05:23:23.714Z,0,0,0
2025-06-10T05:23:24.719Z,0,0,0
2025-06-10T05:23:25.727Z,0,0,0
2025-06-10T05:23:26.736Z,0,0,0
2025-06-10T05:23:27.738Z,0,0,0
2025-06-10T05:23:28.740Z,0,0,0
2025-06-10T05:23:29.750Z,0,0,0
